ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
553181	553181	553181	41.6917	-117.8083	4284.12	-999	1.5828	60	A	1	50	
553182	553182	553182	41.6917	-117.7667	4434.91	-999	1.5136	60	A	1	50	
553215	553215	553215	41.6917	-116.3917	5257.87	-999	2.0148	60	B	2	50	
553217	553217	553217	41.6917	-116.3083	5297.77	-999	1.7297	60	B	2	50	
553218	553218	553218	41.6917	-116.2667	5327.95	-999	1.68	60	B	2	50	
553219	553219	553219	41.6917	-116.225	5547.11	-999	1.68	60	B	2	50	
554414	554414	554414	41.7333	-124.1833	4.59	-999	1.92	60	B	2	50	
554415	554415	554415	41.7333	-124.1417	318.02	-999	1.92	60	B	2	50	
554434	554434	554434	41.7333	-123.35	2157.37	-999	0.96	60	A	1	50	
554465	554465	554465	41.7333	-122.0583	4972.7	-999	1.3701	60	A	1	50	
554466	554466	554466	41.7333	-122.0167	4615.22	-999	1.3785	60	A	1	50	
554470	554470	554470	41.7333	-121.85	4425.46	-999	1.5559	60	A	1	50	
554471	554471	554471	41.7333	-121.8083	4392.91	-999	1.4181	60	A	1	50	
554472	554472	554472	41.7333	-121.7667	4560.24	-999	1.4102	60	A	1	50	
554483	554483	554483	41.7333	-121.3083	4170.47	-999	1.293	60	B	2	50	
554484	554484	554484	41.7333	-121.2667	4330.45	-999	1.5828	60	B	2	50	
554495	554495	554495	41.7333	-120.8083	4920.6	-999	1.0191	60	B	2	50	
554502	554502	554502	41.7333	-120.5167	4991.6	-999	1.3072	60	B	2	50	
554504	554504	554504	41.7333	-120.4333	4718.11	-999	1.7083	60	B	2	50	
554505	554505	554505	41.7333	-120.3917	4751.18	-999	1.4742	60	B	2	50	
554506	554506	554506	41.7333	-120.35	5046.46	-999	1.44	60	B	2	50	
554540	554540	554540	41.7333	-118.9333	5632.81	-999	1.44	60	B	2	50	
554541	554541	554541	41.7333	-118.8917	4565.62	-999	1.44	60	B	2	50	
554544	554544	554544	41.7333	-118.7667	5327.69	-999	1.8878	60	B	2	50	
554557	554557	554557	41.7333	-118.225	4251.71	-999	1.2	60	B	2	50	
554558	554558	554558	41.7333	-118.1833	4200.79	-999	1.2897	60	B	2	50	
554559	554559	554559	41.7333	-118.1417	4406.04	-999	1.92	60	B	2	50	
554566	554566	554566	41.7333	-117.85	4222.57	-999	2.04	60	B	2	50	
554567	554567	554567	41.7333	-117.8083	4238.98	-999	1.7011	60	A	1	50	
554568	554568	554568	41.7333	-117.7667	4352.23	-999	1.6185	60	A	1	50	
554570	554570	554570	41.7333	-117.6833	4918.24	-999	1.44	60	A	1	50	
554597	554597	554597	41.7333	-116.5583	5213.78	-999	1.92	60	B	2	50	
554601	554601	554601	41.7333	-116.3917	5070.74	-999	2.0306	60	B	2	50	
554602	554602	554602	41.7333	-116.35	5224.28	-999	1.9128	60	B	2	50	
554603	554603	554603	41.7333	-116.3083	5246.06	-999	1.9535	60	B	2	50	
554604	554604	554604	41.7333	-116.2667	5316.8	-999	1.7924	60	B	2	50	
554605	554605	554605	41.7333	-116.225	5479.4	-999	1.68	60	B	2	50	
554606	554606	554606	41.7333	-116.1833	5721.92	-999	1.6539	60	B	2	50	
555799	555799	555799	41.775	-124.225	36.2	-999	0.8613	60	A	1	50	
555800	555800	555800	41.775	-124.1833	35.1	-999	1.8892	60	B	2	50	
555801	555801	555801	41.775	-124.1417	224.96	-999	1.9188	60	B	2	50	
555819	555819	555819	41.775	-123.3917	1643.26	-999	0.6234	60	A	1	50	
555850	555850	555850	41.775	-122.1	4848.82	-999	4.1429	60	B	2	50	
555851	555851	555851	41.775	-122.0583	4279.0	-999	1.6958	60	A	1	50	
555852	555852	555852	41.775	-122.0167	4266.8	-999	1.519	60	A	1	50	
555853	555853	555853	41.775	-121.975	4286.48	-999	1.5599	60	A	1	50	
555854	555854	555854	41.775	-121.9333	4337.8	-999	1.5359	60	A	1	50	
555855	555855	555855	41.775	-121.8917	4662.34	-999	1.4668	60	A	1	50	
555856	555856	555856	41.775	-121.85	4718.5	-999	1.4696	60	A	1	50	
555857	555857	555857	41.775	-121.8083	4483.33	-999	1.5214	60	A	1	50	
555858	555858	555858	41.775	-121.7667	4556.82	-999	1.1717	60	B	2	50	
555859	555859	555859	41.775	-121.725	4385.17	-999	1.3436	60	B	2	50	
555880	555880	555880	41.775	-120.85	5002.89	-999	0.2383	60	B	2	50	
555881	555881	555881	41.775	-120.8083	4945.93	-999	0.4202	60	B	2	50	
555890	555890	555890	41.775	-120.4333	4709.32	-999	1.642	60	B	2	50	
555891	555891	555891	41.775	-120.3917	4718.11	-999	1.5169	60	B	2	50	
555892	555892	555892	41.775	-120.35	5183.6	-999	1.4398	60	B	2	50	
555894	555894	555894	41.775	-120.2667	6046.98	-999	1.32	60	B	2	50	
555922	555922	555922	41.775	-119.1	5374.93	-999	1.32	60	A	1	50	
555930	555930	555930	41.775	-118.7667	4497.77	-999	1.9982	60	B	2	50	
555931	555931	555931	41.775	-118.725	4543.18	-999	2.0168	60	B	2	50	
555942	555942	555942	41.775	-118.2667	4478.61	-999	1.3052	60	B	2	50	
555943	555943	555943	41.775	-118.225	4258.92	-999	1.4564	60	B	2	50	
555944	555944	555944	41.775	-118.1833	4237.66	-999	1.8481	60	B	2	50	
555945	555945	555945	41.775	-118.1417	5149.48	-999	1.8101	60	B	2	50	
555953	555953	555953	41.775	-117.8083	4328.87	-999	2.04	60	B	2	50	
555954	555954	555954	41.775	-117.7667	4319.95	-999	1.68	60	A	1	50	
555955	555955	555955	41.775	-117.725	4450.66	-999	1.5711	60	A	1	50	
555983	555983	555983	41.775	-116.5583	5195.14	-999	1.92	60	B	2	50	
