This file contains first (temporary) numbers of cutting cycles for dairy and beef hay, based on latitude. R.Allen 4/1/08
ET Cell ID	ET Cell Name	Lat	Number Dairy	Number Beef	null	null.1
561387	561387	41.9417	5	3		
561388	561388	41.9417	5	3		
561389	561389	41.9417	5	4		
561391	561391	41.9417	5	4		
561394	561394	41.9417	5	2		
561395	561395	41.9417	5	2		
561396	561396	41.9417	5	2		
561397	561397	41.9417	5	2		
561398	561398	41.9417	5	2		
561399	561399	41.9417	5	2		
561400	561400	41.9417	5	2		
561401	561401	41.9417	5	2		
561402	561402	41.9417	5	4		
561403	561403	41.9417	5	4		
561404	561404	41.9417	5	4		
561405	561405	41.9417	5	4		
561406	561406	41.9417	5	2		
561407	561407	41.9417	5	2		
561408	561408	41.9417	5	2		
561409	561409	41.9417	5	2		
561410	561410	41.9417	5	2		
561411	561411	41.9417	5	2		
561412	561412	41.9417	5	2		
561413	561413	41.9417	5	2		
561414	561414	41.9417	5	2		
561415	561415	41.9417	5	2		
561420	561420	41.9417	5	4		
561424	561424	41.9417	5	4		
561425	561425	41.9417	5	4		
561436	561436	41.9417	5	2		
561437	561437	41.9417	5	2		
561443	561443	41.9417	5	4		
561444	561444	41.9417	5	4		
561447	561447	41.9417	5	4		
561448	561448	41.9417	5	4		
561450	561450	41.9417	5	4		
561455	561455	41.9417	5	4		
561456	561456	41.9417	5	4		
561457	561457	41.9417	5	4		
561458	561458	41.9417	5	4		
561475	561475	41.9417	5	2		
561477	561477	41.9417	5	4		
561478	561478	41.9417	5	2		
561480	561480	41.9417	5	4		
561495	561495	41.9417	5	4		
561496	561496	41.9417	5	4		
561497	561497	41.9417	5	2		
561498	561498	41.9417	5	2		
561499	561499	41.9417	5	1		
561500	561500	41.9417	5	4		
561501	561501	41.9417	5	4		
561527	561527	41.9417	5	4		
562729	562729	41.9833	5	4		
562730	562730	41.9833	5	3		
562741	562741	41.9833	5	4		
562767	562767	41.9833	5	3		
562775	562775	41.9833	5	3		
562776	562776	41.9833	5	2		
562777	562777	41.9833	5	2		
562778	562778	41.9833	5	4		
562782	562782	41.9833	5	2		
562783	562783	41.9833	5	2		
562784	562784	41.9833	5	2		
562785	562785	41.9833	5	2		
562786	562786	41.9833	5	2		
562787	562787	41.9833	5	4		
562788	562788	41.9833	5	4		
562789	562789	41.9833	5	4		
562790	562790	41.9833	5	2		
562791	562791	41.9833	5	2		
562792	562792	41.9833	5	2		
562793	562793	41.9833	5	2		
562794	562794	41.9833	5	2		
562795	562795	41.9833	5	2		
562796	562796	41.9833	5	2		
562797	562797	41.9833	5	2		
562798	562798	41.9833	5	2		
562799	562799	41.9833	5	2		
562800	562800	41.9833	5	4		
562801	562801	41.9833	5	4		
562802	562802	41.9833	5	4		
562806	562806	41.9833	5	4		
562807	562807	41.9833	5	4		
562810	562810	41.9833	5	4		
562811	562811	41.9833	5	4		
562815	562815	41.9833	5	4		
562818	562818	41.9833	5	4		
562819	562819	41.9833	5	4		
562822	562822	41.9833	5	4		
562823	562823	41.9833	5	2		
562824	562824	41.9833	5	4		
562835	562835	41.9833	5	4		
562836	562836	41.9833	5	4		
562842	562842	41.9833	5	4		
562863	562863	41.9833	5	2		
562864	562864	41.9833	5	2		
562870	562870	41.9833	5	4		
562875	562875	41.9833	5	4		
562876	562876	41.9833	5	4		
562877	562877	41.9833	5	4		
562883	562883	41.9833	5	2		
562884	562884	41.9833	5	1		
562885	562885	41.9833	5	1		
562886	562886	41.9833	5	4		
562887	562887	41.9833	5	4		
562888	562888	41.9833	5	4		
562892	562892	41.9833	5	4		
562912	562912	41.9833	5	4		
564114	564114	42.025	5	4		
564115	564115	42.025	5	4		
564116	564116	42.025	5	4		
564117	564117	42.025	5	4		
564127	564127	42.025	5	4		
564128	564128	42.025	5	4		
564129	564129	42.025	5	4		
564130	564130	42.025	5	4		
564144	564144	42.025	5	4		
564145	564145	42.025	5	4		
564152	564152	42.025	5	4		
564153	564153	42.025	5	4		
564154	564154	42.025	5	4		
564159	564159	42.025	5	4		
564160	564160	42.025	5	4		
564161	564161	42.025	5	4		
564162	564162	42.025	5	4		
564163	564163	42.025	5	4		
564164	564164	42.025	5	4		
564165	564165	42.025	5	4		
564166	564166	42.025	5	4		
564167	564167	42.025	5	4		
564170	564170	42.025	5	2		
564171	564171	42.025	5	2		
564172	564172	42.025	5	4		
564173	564173	42.025	5	2		
564174	564174	42.025	5	2		
564175	564175	42.025	5	2		
564176	564176	42.025	5	2		
564177	564177	42.025	5	2		
564178	564178	42.025	5	2		
564179	564179	42.025	5	2		
564180	564180	42.025	5	2		
564181	564181	42.025	5	2		
564182	564182	42.025	5	2		
564183	564183	42.025	5	2		
564184	564184	42.025	5	2		
564186	564186	42.025	5	4		
564187	564187	42.025	5	1		
564188	564188	42.025	5	2		
564192	564192	42.025	5	4		
564193	564193	42.025	5	4		
564194	564194	42.025	5	4		
564195	564195	42.025	5	4		
564203	564203	42.025	5	2		
564204	564204	42.025	5	1		
564205	564205	42.025	5	4		
564209	564209	42.025	5	2		
564220	564220	42.025	5	4		
564221	564221	42.025	5	4		
564227	564227	42.025	5	4		
564228	564228	42.025	5	4		
564229	564229	42.025	5	4		
564232	564232	42.025	5	4		
564245	564245	42.025	5	2		
564249	564249	42.025	5	4		
564250	564250	42.025	5	2		
564254	564254	42.025	5	4		
564255	564255	42.025	5	4		
564256	564256	42.025	5	4		
564261	564261	42.025	5	4		
564262	564262	42.025	5	4		
564263	564263	42.025	5	4		
564264	564264	42.025	5	4		
564269	564269	42.025	5	2		
564270	564270	42.025	5	1		
564271	564271	42.025	5	4		
564272	564272	42.025	5	4		
564273	564273	42.025	5	4		
564278	564278	42.025	5	4		
564289	564289	42.025	5	4		
564290	564290	42.025	5	4		
564300	564300	42.025	5	4		
565499	565499	42.0667	5	4		
565500	565500	42.0667	5	4		
565501	565501	42.0667	5	4		
565502	565502	42.0667	5	4		
565513	565513	42.0667	5	4		
565514	565514	42.0667	5	4		
565515	565515	42.0667	5	4		
565516	565516	42.0667	5	4		
565517	565517	42.0667	5	4		
565525	565525	42.0667	5	4		
565526	565526	42.0667	5	4		
565527	565527	42.0667	5	4		
565528	565528	42.0667	5	4		
565531	565531	42.0667	5	4		
565533	565533	42.0667	5	4		
565539	565539	42.0667	5	4		
565540	565540	42.0667	5	4		
565541	565541	42.0667	5	4		
565542	565542	42.0667	5	4		
565545	565545	42.0667	5	4		
565546	565546	42.0667	5	2		
565548	565548	42.0667	5	4		
565557	565557	42.0667	5	2		
565558	565558	42.0667	5	2		
565559	565559	42.0667	5	2		
565560	565560	42.0667	5	2		
565561	565561	42.0667	5	2		
565562	565562	42.0667	5	2		
565563	565563	42.0667	5	2		
565564	565564	42.0667	5	2		
565565	565565	42.0667	5	2		
565566	565566	42.0667	5	2		
565567	565567	42.0667	5	2		
565568	565568	42.0667	5	2		
565569	565569	42.0667	5	2		
565570	565570	42.0667	5	4		
565571	565571	42.0667	5	4		
565572	565572	42.0667	5	2		
565573	565573	42.0667	5	1		
565574	565574	42.0667	5	2		
565576	565576	42.0667	5	4		
565577	565577	42.0667	5	4		
565578	565578	42.0667	5	4		
565580	565580	42.0667	5	4		
565581	565581	42.0667	5	4		
565582	565582	42.0667	5	4		
565583	565583	42.0667	5	4		
565589	565589	42.0667	5	2		
565590	565590	42.0667	5	1		
565591	565591	42.0667	5	4		
565594	565594	42.0667	5	4		
565595	565595	42.0667	5	2		
565599	565599	42.0667	5	4		
565600	565600	42.0667	5	4		
565603	565603	42.0667	5	4		
565604	565604	42.0667	5	4		
565605	565605	42.0667	5	4		
565613	565613	42.0667	5	4		
565614	565614	42.0667	5	4		
565615	565615	42.0667	5	4		
565631	565631	42.0667	5	4		
565636	565636	42.0667	5	2		
565637	565637	42.0667	5	2		
565638	565638	42.0667	5	2		
565639	565639	42.0667	5	2		
565640	565640	42.0667	5	4		
565648	565648	42.0667	5	4		
565650	565650	42.0667	5	4		
565656	565656	42.0667	5	1		
565657	565657	42.0667	5	1		
565658	565658	42.0667	5	2		
565661	565661	42.0667	5	4		
566885	566885	42.1083	5	4		
566887	566887	42.1083	5	4		
566888	566888	42.1083	5	4		
566899	566899	42.1083	5	4		
566900	566900	42.1083	5	4		
566901	566901	42.1083	5	4		
566902	566902	42.1083	5	4		
566903	566903	42.1083	5	4		
566904	566904	42.1083	5	4		
566914	566914	42.1083	5	4		
566915	566915	42.1083	5	4		
566917	566917	42.1083	5	4		
566918	566918	42.1083	5	4		
566919	566919	42.1083	5	4		
566926	566926	42.1083	5	2		
566927	566927	42.1083	5	4		
566928	566928	42.1083	5	4		
566929	566929	42.1083	5	4		
566930	566930	42.1083	5	4		
566931	566931	42.1083	5	2		
566932	566932	42.1083	5	4		
566935	566935	42.1083	5	4		
566939	566939	42.1083	5	4		
566942	566942	42.1083	5	2		
566943	566943	42.1083	5	2		
566944	566944	42.1083	5	2		
566945	566945	42.1083	5	2		
566946	566946	42.1083	5	2		
566947	566947	42.1083	5	2		
566948	566948	42.1083	5	2		
566949	566949	42.1083	5	2		
566951	566951	42.1083	5	4		
566952	566952	42.1083	5	2		
566953	566953	42.1083	5	2		
566954	566954	42.1083	5	2		
566955	566955	42.1083	5	4		
566956	566956	42.1083	5	4		
566957	566957	42.1083	5	2		
566958	566958	42.1083	5	1		
566959	566959	42.1083	5	1		
566960	566960	42.1083	5	2		
566967	566967	42.1083	5	4		
566969	566969	42.1083	5	4		
566970	566970	42.1083	5	4		
566974	566974	42.1083	5	1		
566975	566975	42.1083	5	1		
566976	566976	42.1083	5	1		
566977	566977	42.1083	5	1		
566978	566978	42.1083	5	4		
566979	566979	42.1083	5	2		
566980	566980	42.1083	5	2		
566981	566981	42.1083	5	2		
566983	566983	42.1083	5	4		
566984	566984	42.1083	5	4		
566985	566985	42.1083	5	4		
566986	566986	42.1083	5	4		
566990	566990	42.1083	5	4		
566991	566991	42.1083	5	2		
566992	566992	42.1083	5	4		
567000	567000	42.1083	5	4		
567001	567001	42.1083	5	4		
567009	567009	42.1083	5	4		
567010	567010	42.1083	5	4		
567012	567012	42.1083	5	4		
567022	567022	42.1083	5	2		
567023	567023	42.1083	5	2		
567024	567024	42.1083	5	4		
567034	567034	42.1083	5	4		
567040	567040	42.1083	5	4		
567044	567044	42.1083	5	4		
567045	567045	42.1083	5	4		
567047	567047	42.1083	5	4		
567048	567048	42.1083	5	4		
567050	567050	42.1083	5	4		
568270	568270	42.15	5	4		
568271	568271	42.15	5	4		
568286	568286	42.15	5	4		
568287	568287	42.15	5	3		
568288	568288	42.15	5	4		
568289	568289	42.15	5	4		
568290	568290	42.15	5	4		
568291	568291	42.15	5	4		
568296	568296	42.15	5	4		
568297	568297	42.15	5	4		
568301	568301	42.15	5	3		
568302	568302	42.15	5	4		
568303	568303	42.15	5	4		
568304	568304	42.15	5	4		
568305	568305	42.15	5	4		
568306	568306	42.15	5	4		
568310	568310	42.15	5	4		
568311	568311	42.15	5	4		
568312	568312	42.15	5	3		
568313	568313	42.15	5	4		
568314	568314	42.15	5	4		
568315	568315	42.15	5	2		
568316	568316	42.15	5	4		
568317	568317	42.15	5	4		
568318	568318	42.15	5	4		
568319	568319	42.15	5	4		
568321	568321	42.15	5	4		
568325	568325	42.15	5	4		
568326	568326	42.15	5	2		
568328	568328	42.15	5	2		
568329	568329	42.15	5	2		
568330	568330	42.15	5	2		
568331	568331	42.15	5	2		
568332	568332	42.15	5	2		
568333	568333	42.15	5	2		
568334	568334	42.15	5	2		
568335	568335	42.15	5	2		
568336	568336	42.15	5	4		
568337	568337	42.15	5	2		
568338	568338	42.15	5	2		
568339	568339	42.15	5	2		
568340	568340	42.15	5	2		
568341	568341	42.15	5	2		
568342	568342	42.15	5	2		
568343	568343	42.15	5	2		
568344	568344	42.15	5	2		
568345	568345	42.15	5	2		
568346	568346	42.15	5	2		
568352	568352	42.15	5	4		
568353	568353	42.15	5	4		
568354	568354	42.15	5	4		
568360	568360	42.15	5	4		
568361	568361	42.15	5	1		
568362	568362	42.15	5	1		
568363	568363	42.15	5	1		
568364	568364	42.15	5	2		
568365	568365	42.15	5	2		
568366	568366	42.15	5	2		
568367	568367	42.15	5	4		
568368	568368	42.15	5	4		
568369	568369	42.15	5	4		
568370	568370	42.15	5	4		
568371	568371	42.15	5	4		
568376	568376	42.15	5	4		
568377	568377	42.15	5	2		
568378	568378	42.15	5	2		
568379	568379	42.15	5	4		
568386	568386	42.15	5	4		
568387	568387	42.15	5	4		
568408	568408	42.15	5	2		
568409	568409	42.15	5	2		
568410	568410	42.15	5	2		
568411	568411	42.15	5	2		
568412	568412	42.15	5	2		
568414	568414	42.15	5	4		
568425	568425	42.15	5	4		
568426	568426	42.15	5	4		
568432	568432	42.15	5	4		
568433	568433	42.15	5	4		
568434	568434	42.15	5	4		
568449	568449	42.15	5	4		
569656	569656	42.1917	5	4		
569661	569661	42.1917	5	4		
569672	569672	42.1917	5	4		
569673	569673	42.1917	5	4		
569674	569674	42.1917	5	4		
569676	569676	42.1917	5	4		
569680	569680	42.1917	5	4		
569681	569681	42.1917	5	4		
569682	569682	42.1917	5	4		
569683	569683	42.1917	5	4		
569684	569684	42.1917	5	4		
569687	569687	42.1917	5	4		
569688	569688	42.1917	5	4		
569689	569689	42.1917	5	4		
569690	569690	42.1917	5	4		
569692	569692	42.1917	5	4		
569693	569693	42.1917	5	4		
569694	569694	42.1917	5	4		
569695	569695	42.1917	5	3		
569696	569696	42.1917	5	4		
569697	569697	42.1917	5	4		
569698	569698	42.1917	5	4		
569700	569700	42.1917	5	4		
569701	569701	42.1917	5	4		
569702	569702	42.1917	5	4		
569703	569703	42.1917	5	4		
569705	569705	42.1917	5	4		
569706	569706	42.1917	5	4		
569707	569707	42.1917	5	4		
569713	569713	42.1917	5	4		
569714	569714	42.1917	5	1		
569715	569715	42.1917	5	4		
569716	569716	42.1917	5	2		
569717	569717	42.1917	5	2		
569718	569718	42.1917	5	2		
569719	569719	42.1917	5	2		
569720	569720	42.1917	5	2		
569721	569721	42.1917	5	2		
569722	569722	42.1917	5	2		
569723	569723	42.1917	5	2		
569724	569724	42.1917	5	2		
569725	569725	42.1917	5	2		
569726	569726	42.1917	5	2		
569727	569727	42.1917	5	2		
569728	569728	42.1917	5	2		
569729	569729	42.1917	5	2		
569730	569730	42.1917	5	4		
569732	569732	42.1917	5	4		
569735	569735	42.1917	5	4		
569736	569736	42.1917	5	4		
569737	569737	42.1917	5	4		
569738	569738	42.1917	5	4		
569739	569739	42.1917	5	4		
569744	569744	42.1917	5	4		
569745	569745	42.1917	5	4		
569746	569746	42.1917	5	4		
569747	569747	42.1917	5	1		
569748	569748	42.1917	5	1		
569749	569749	42.1917	5	1		
