Met Node ID	Met Node Name	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
540570		0.7847021818161011	0.7698524594306946	0.8192084431648254	0.851729691028595	0.8505194187164307	0.895096480846405	0.8914589881896973	0.8322305679321289	0.8196672201156616	0.7960525751113892	0.7581602334976196	0.7305540442466736
540696		0.9846518635749817	1.0866844654083252	1.0174051523208618	0.9699084758758545	0.9547802805900574	1.0049775838851929	0.991828441619873	0.9697266817092896	0.9885592460632324	1.0146698951721191	1.031609058380127	1.077530860900879
540697		0.9889125823974609	1.0902519226074219	1.0182993412017822	0.9712415337562561	0.955566942691803	1.006598949432373	0.9930596351623535	0.9710957407951355	0.9910243153572083	1.0176535844802856	1.0357046127319336	1.0839816331863403
540746		0.9867323637008667	1.0595881938934326	1.0254707336425781	1.0193027257919312	0.9822004437446594	1.0130245685577393	0.991425096988678	0.9776121973991394	0.9755013585090637	0.9606602191925049	0.9850112795829773	1.0431811809539795
540747		0.9852212071418762	1.058847188949585	1.025626540184021	1.0198159217834473	0.9823778867721558	1.012300729751587	0.9905475378036499	0.976526141166687	0.9740354418754578	0.9594549536705017	0.983823835849762	1.0417381525039673
540748		0.9833601713180542	1.0578500032424927	1.025645136833191	1.0202255249023438	0.9824451804161072	1.0114065408706665	0.9894998669624329	0.9752976894378662	0.9723567366600037	0.9580067992210388	0.9823828339576721	1.0398627519607544
540749		0.9813527464866638	1.0567433834075928	1.025623083114624	1.0206230878829956	0.9824998378753662	1.010435700416565	0.9883695840835571	0.9740107655525208	0.9705937504768372	0.9564499855041504	0.9808263182640076	1.0377707481384277
541956		0.7871901988983154	0.7697134613990784	0.8227093815803528	0.8530018925666809	0.8508954048156738	0.89752197265625	0.8945924043655396	0.835448682308197	0.823038637638092	0.7997898459434509	0.7603793740272522	0.7312318086624146
541957		0.7911103367805481	0.7707684636116028	0.8245832324028015	0.8535109758377075	0.8514153957366943	0.8989706635475159	0.8967196345329285	0.8374977111816406	0.8257865309715271	0.8032531142234802	0.7634161114692688	0.7345899343490601
542082		0.9816843271255493	1.0845967531204224	1.0168533325195312	0.9696006178855896	0.954386293888092	1.0041112899780273	0.9918584227561951	0.9700332880020142	0.987542986869812	1.0125492811203003	1.0294389724731445	1.0741512775421143
542083		0.9865603446960449	1.0886695384979248	1.0177322626113892	0.970686137676239	0.9550556540489197	1.0058155059814453	0.9927589893341064	0.9708871841430664	0.98995041847229	1.016074538230896	1.0339454412460327	1.0812058448791504
542132		0.9900144934654236	1.0621082782745361	1.0274525880813599	1.0221582651138306	0.9851088523864746	1.0147134065628052	0.9925931096076965	0.9778844714164734	0.9765910506248474	0.9621486067771912	0.9863540530204773	1.0463476181030273
542133		0.9885717034339905	1.0614138841629028	1.0276073217391968	1.0226985216140747	0.9853302240371704	1.0140024423599243	0.9917414784431458	0.9767718315124512	0.9751293659210205	0.9609781503677368	0.9851978421211243	1.0450519323349
