date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
1987-11-01,1987,11,1,40.9416666667,-118.1416666333,1291.7600097656,1.9446727954,5.9500000000,15.6500000000,114.0000000000,0.8327703575,86.9340451125,5.6000000000,2.4000000000,1.7000000000
1987-11-02,1987,11,2,40.9416666667,-118.1416666333,1291.7600097656,1.9446727954,4.0500000000,15.9500000000,100.7000000000,0.7953003813,86.9340451125,1.7000000000,2.4000000000,1.7000000000
1987-11-03,1987,11,3,40.9416666667,-118.1416666333,1291.7600097656,1.6454923654,0.0500000000,15.8500000000,125.4000000000,0.8299952238,86.9340451125,0.0000000000,1.9000000000,1.4000000000
1987-11-04,1987,11,4,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,0.2500000000,16.7500000000,129.6000000000,0.7939123691,86.9340451125,0.5000000000,2.0000000000,1.4000000000
1987-11-05,1987,11,5,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-0.7500000000,14.8500000000,88.1000000000,0.7925243400,86.9340451125,3.1000000000,1.5000000000,1.1000000000
1987-11-06,1987,11,6,40.9416666667,-118.1416666333,1291.7600097656,2.8422140856,1.2500000000,12.8500000000,42.1000000000,0.8813243177,86.9340451125,4.7000000000,1.3000000000,0.9000000000
1987-11-07,1987,11,7,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,-0.3500000000,13.9500000000,123.5000000000,0.8369329319,86.9340451125,1.9000000000,1.4000000000,1.1000000000
1987-11-08,1987,11,8,40.9416666667,-118.1416666333,1291.7600097656,1.4959021503,-0.1500000000,15.4500000000,124.7000000000,0.7703135887,86.9340451125,0.0000000000,1.8000000000,1.3000000000
1987-11-09,1987,11,9,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,0.7500000000,14.6500000000,101.0000000000,0.7147678721,86.9340451125,0.9000000000,1.8000000000,1.3000000000
1987-11-10,1987,11,10,40.9416666667,-118.1416666333,1291.7600097656,1.0471315052,-0.8500000000,13.7500000000,116.7000000000,0.5730043686,86.9340451125,0.0000000000,1.7000000000,1.2000000000
1987-11-11,1987,11,11,40.9416666667,-118.1416666333,1291.7600097656,0.9723363977,-2.4500000000,13.6500000000,115.5000000000,0.6105470602,86.9340451125,0.0000000000,1.5000000000,1.1000000000
1987-11-12,1987,11,12,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,1.4500000000,13.3500000000,76.3000000000,0.6133275115,86.9340451125,2.9000000000,1.9000000000,1.3000000000
1987-11-13,1987,11,13,40.9416666667,-118.1416666333,1291.7600097656,2.5430336556,0.0500000000,13.5500000000,80.4000000000,0.6772592922,86.9340451125,2.3000000000,2.3000000000,1.5000000000
1987-11-14,1987,11,14,40.9416666667,-118.1416666333,1291.7600097656,3.1413945157,-3.1500000000,8.9500000000,65.4000000000,0.4380273284,86.9340451125,0.4000000000,2.5000000000,1.6000000000
1987-11-15,1987,11,15,40.9416666667,-118.1416666333,1291.7600097656,1.0471315052,-7.0500000000,6.3500000000,98.3000000000,0.3488833088,86.9340451125,0.0000000000,1.2000000000,0.9000000000
1987-11-16,1987,11,16,40.9416666667,-118.1416666333,1291.7600097656,2.0942630105,-3.2500000000,9.4500000000,87.5000000000,0.5437959998,86.9340451125,0.0000000000,1.6000000000,1.1000000000
1987-11-17,1987,11,17,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-1.7500000000,10.6500000000,77.0000000000,0.6327887835,86.9340451125,0.0000000000,1.2000000000,0.9000000000
1987-11-18,1987,11,18,40.9416666667,-118.1416666333,1291.7600097656,1.6454923654,-5.2500000000,9.2500000000,110.8000000000,0.5660506696,86.9340451125,0.0000000000,1.2000000000,0.8000000000
1987-11-19,1987,11,19,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,-4.7500000000,10.0500000000,110.4000000000,0.5493600720,86.9340451125,0.0000000000,1.3000000000,0.9000000000
1987-11-20,1987,11,20,40.9416666667,-118.1416666333,1291.7600097656,1.3463119353,-4.1500000000,12.3500000000,98.0000000000,0.5034484039,86.9340451125,0.0000000000,1.7000000000,1.1000000000
1987-11-21,1987,11,21,40.9416666667,-118.1416666333,1291.7600097656,2.0194679030,-1.4500000000,10.0500000000,76.3000000000,0.5577056744,86.9340451125,0.0000000000,1.7000000000,1.1000000000
1987-11-22,1987,11,22,40.9416666667,-118.1416666333,1291.7600097656,1.1967217203,-2.1500000000,9.2500000000,103.4000000000,0.4770060770,86.9340451125,0.0000000000,1.4000000000,0.9000000000
1987-11-23,1987,11,23,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-4.7500000000,7.5500000000,96.9000000000,0.4435965316,86.9340451125,0.0000000000,1.2000000000,0.8000000000
1987-11-24,1987,11,24,40.9416666667,-118.1416666333,1291.7600097656,1.5706972579,-6.1500000000,7.2500000000,81.2000000000,0.4561262510,86.9340451125,0.4000000000,1.2000000000,0.8000000000
1987-11-25,1987,11,25,40.9416666667,-118.1416666333,1291.7600097656,2.5430336556,-7.2500000000,4.1500000000,104.7000000000,0.4046064329,86.9340451125,0.6000000000,1.2000000000,0.8000000000
1987-11-26,1987,11,26,40.9416666667,-118.1416666333,1291.7600097656,1.0471315052,-8.9500000000,1.7500000000,103.5000000000,0.3725689414,86.9340451125,0.0000000000,0.6000000000,0.5000000000
1987-11-27,1987,11,27,40.9416666667,-118.1416666333,1291.7600097656,0.5983608601,-10.5500000000,2.6500000000,102.7000000000,0.3447029840,86.9340451125,0.0000000000,0.6000000000,0.4000000000
1987-11-28,1987,11,28,40.9416666667,-118.1416666333,1291.7600097656,0.5235657526,-10.8500000000,2.5500000000,101.4000000000,0.3502767165,86.9340451125,0.0000000000,0.5000000000,0.4000000000
1987-11-29,1987,11,29,40.9416666667,-118.1416666333,1291.7600097656,0.8227461827,-10.7500000000,3.0500000000,101.1000000000,0.3697826499,86.9340451125,0.0000000000,0.6000000000,0.5000000000
1987-11-30,1987,11,30,40.9416666667,-118.1416666333,1291.7600097656,1.3463119353,-9.0500000000,6.3500000000,78.2000000000,0.3864993841,86.9340451125,0.0000000000,1.1000000000,0.7000000000
1987-12-01,1987,12,1,40.9416666667,-118.1416666333,1291.7600097656,2.4682385481,-4.0500000000,10.2500000000,48.6000000000,0.5131887780,86.9340451125,0.0000000000,2.0000000000,1.3000000000
1987-12-02,1987,12,2,40.9416666667,-118.1416666333,1291.7600097656,2.6178287631,0.2500000000,13.5500000000,81.4000000000,0.6077665415,86.9340451125,0.0000000000,2.5000000000,1.6000000000
1987-12-03,1987,12,3,40.9416666667,-118.1416666333,1291.7600097656,2.0194679030,0.0500000000,15.1500000000,98.1000000000,0.5730043686,86.9340451125,0.0000000000,2.5000000000,1.5000000000
1987-12-04,1987,12,4,40.9416666667,-118.1416666333,1291.7600097656,0.8975412902,-0.7500000000,13.8500000000,76.0000000000,0.5632690720,86.9340451125,0.0000000000,1.4000000000,0.9000000000
1987-12-05,1987,12,5,40.9416666667,-118.1416666333,1291.7600097656,1.8698776879,-0.8500000000,13.7500000000,88.3000000000,0.5952533729,86.9340451125,0.3000000000,2.0000000000,1.3000000000
1987-12-06,1987,12,6,40.9416666667,-118.1416666333,1291.7600097656,4.5625015585,-0.2500000000,14.1500000000,93.4000000000,0.5437959998,86.9340451125,1.5000000000,3.9000000000,2.4000000000
1987-12-07,1987,12,7,40.9416666667,-118.1416666333,1291.7600097656,3.1413945157,-3.4500000000,8.9500000000,72.8000000000,0.4004281367,86.9340451125,1.3000000000,2.6000000000,1.6000000000
1987-12-08,1987,12,8,40.9416666667,-118.1416666333,1291.7600097656,2.2438532255,-5.5500000000,6.6500000000,56.3000000000,0.4324578549,86.9340451125,0.3000000000,1.5000000000,1.0000000000
1987-12-09,1987,12,9,40.9416666667,-118.1416666333,1291.7600097656,2.1690581180,-4.2500000000,7.3500000000,44.1000000000,0.5757857302,86.9340451125,0.5000000000,1.0000000000,0.7000000000
1987-12-10,1987,12,10,40.9416666667,-118.1416666333,1291.7600097656,2.6926238706,-0.8500000000,11.6500000000,45.5000000000,0.6383485403,86.9340451125,0.0000000000,1.9000000000,1.3000000000
1987-12-11,1987,12,11,40.9416666667,-118.1416666333,1291.7600097656,2.3934434405,-6.2500000000,6.5500000000,83.1000000000,0.3279801628,86.9340451125,0.0000000000,2.0000000000,1.2000000000
