LAT,LON,GRIDMET_ID,ELEV_M,ELEV_FT,FIPS_C,STPO,COUNTYNAME,CNTYCATEGO,STATENAME,HUC8,STATION_ID,GRID_FILE_PATH
45.525,-123.099999967,680566,57.0667,187.227,41067.0,OR,Washington,County,Oregon,17090010,680566,E:\or_statewide\climate_data\gridmet_historical_680566.csv
45.525,-123.0583333,680567,55.8667,183.29,41067.0,OR,Washington,County,Oregon,17090010,680567,E:\or_statewide\climate_data\gridmet_historical_680567.csv
45.525,-123.016666633,680568,52.3667,171.807,41067.0,OR,Washington,County,Oregon,17090010,680568,E:\or_statewide\climate_data\gridmet_historical_680568.csv
45.525,-122.974999967,680569,54.5,178.806,41067.0,OR,Washington,County,Oregon,17090010,680569,E:\or_statewide\climate_data\gridmet_historical_680569.csv
45.525,-122.9333333,680570,56.7333,186.133,41067.0,OR,Washington,County,Oregon,17090010,680570,E:\or_statewide\climate_data\gridmet_historical_680570.csv
45.525,-122.891666633,680571,58.7333,192.695,41067.0,OR,Washington,County,Oregon,17090010,680571,E:\or_statewide\climate_data\gridmet_historical_680571.csv
45.525,-122.849999967,680572,65.1333,213.692,41067.0,OR,Washington,County,Oregon,17090010,680572,E:\or_statewide\climate_data\gridmet_historical_680572.csv
45.525,-122.8083333,680573,90.5333,297.025,41067.0,OR,Washington,County,Oregon,17090010,680573,E:\or_statewide\climate_data\gridmet_historical_680573.csv
45.525,-122.766666633,680574,193.6,635.171,41067.0,OR,Washington,County,Oregon,17090010,680574,E:\or_statewide\climate_data\gridmet_historical_680574.csv
45.525,-122.724999967,680575,202.733,665.135,41051.0,OR,Multnomah,County,Oregon,17090012,680575,E:\or_statewide\climate_data\gridmet_historical_680575.csv
45.525,-122.6833333,680576,50.1,164.37,41051.0,OR,Multnomah,County,Oregon,17090012,680576,E:\or_statewide\climate_data\gridmet_historical_680576.csv
45.525,-122.641666633,680577,39.0667,128.172,41051.0,OR,Multnomah,County,Oregon,17090012,680577,E:\or_statewide\climate_data\gridmet_historical_680577.csv
45.525,-122.599999967,680578,71.7667,235.455,41051.0,OR,Multnomah,County,Oregon,17090012,680578,E:\or_statewide\climate_data\gridmet_historical_680578.csv
45.525,-122.5583333,680579,83.1333,272.747,41051.0,OR,Multnomah,County,Oregon,17090012,680579,E:\or_statewide\climate_data\gridmet_historical_680579.csv
45.525,-122.516666633,680580,83.4333,273.731,41051.0,OR,Multnomah,County,Oregon,17090012,680580,E:\or_statewide\climate_data\gridmet_historical_680580.csv
45.525,-122.474999967,680581,68.6667,225.284,41051.0,OR,Multnomah,County,Oregon,17090012,680581,E:\or_statewide\climate_data\gridmet_historical_680581.csv
45.525,-122.4333333,680582,69.5,228.018,41051.0,OR,Multnomah,County,Oregon,17090012,680582,E:\or_statewide\climate_data\gridmet_historical_680582.csv
45.525,-122.391666633,680583,69.5667,228.237,41051.0,OR,Multnomah,County,Oregon,17080001,680583,E:\or_statewide\climate_data\gridmet_historical_680583.csv
45.525,-122.349999967,680584,92.8333,304.571,41051.0,OR,Multnomah,County,Oregon,17080001,680584,E:\or_statewide\climate_data\gridmet_historical_680584.csv
45.525,-122.3083333,680585,120.88,396.588,41051.0,OR,Multnomah,County,Oregon,17080001,680585,E:\or_statewide\climate_data\gridmet_historical_680585.csv
45.525,-122.266666633,680586,167.4,549.213,41051.0,OR,Multnomah,County,Oregon,17080001,680586,E:\or_statewide\climate_data\gridmet_historical_680586.csv
45.525,-122.224999967,680587,240.56,789.239,41051.0,OR,Multnomah,County,Oregon,17080001,680587,E:\or_statewide\climate_data\gridmet_historical_680587.csv
45.525,-122.1833333,680588,393.0,1289.37,41051.0,OR,Multnomah,County,Oregon,17080001,680588,E:\or_statewide\climate_data\gridmet_historical_680588.csv
45.525,-121.641666633,680601,675.92,2217.59,41027.0,OR,Hood River,County,Oregon,17070105,680601,E:\or_statewide\climate_data\gridmet_historical_680601.csv
45.525,-121.599999967,680602,509.32,1671.0,41027.0,OR,Hood River,County,Oregon,17070105,680602,E:\or_statewide\climate_data\gridmet_historical_680602.csv
45.525,-121.5583333,680603,541.24,1775.72,41027.0,OR,Hood River,County,Oregon,17070105,680603,E:\or_statewide\climate_data\gridmet_historical_680603.csv
45.525,-121.391666633,680607,808.28,2651.84,41065.0,OR,Wasco,County,Oregon,17070105,680607,E:\or_statewide\climate_data\gridmet_historical_680607.csv
