#  3 - Alfalfa Hay
Date,Year,Month,PMeto_mm,ETact,ETpot,ETbas,Kc,Kcb,PPT,Irrigation,Runoff,DPerc,P_rz,P_eft,P_rz_fraction,P_eft_fraction,NIWR,Season,Cutting
1999-09,1999,9,114.74910542970491,2.832632593878872,11.474910542970497,11.474910542970497,0.023855121342112023,0.10000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.832632593878872,0, 0
1999-10,1999,10,74.08522681040265,11.001036682875425,16.280694207688875,7.408522681040266,0.21526066057780843,0.10000000000000005,19.9999999702,0.0,0.0,0.0,19.9999999702,13.623889946472747,1.0,0.6811944983386171,-8.998963287324575,0, 0
1999-11,1999,11,39.00115314924506,14.763941765446356,16.16719808850164,3.9001153149245056,0.4135267962914578,0.10000000000000005,10.200000137,0.0,0.0,0.0,10.200000137,4.61724025774524,1.0,0.45267060742444776,4.563941628446354,0, 0
1999-12,1999,12,17.38308890518118,6.31301585449606,6.67261496897028,1.7383088905181183,0.3490688469625832,0.10000000000000005,6.8000001014,0.0,0.0,0.0,6.8000001014,3.146928969164206,1.0,0.4627836650349915,-0.4869842469039395,0, 0
2000-01,2000,1,17.626801466952596,19.37001982040765,19.38948161364786,1.7626801466952606,1.0987930219316435,0.10000000000000005,49.0000005066,0.0,0.0,0.0,49.0000005066,35.966862083032794,1.0,0.7340175859424384,-29.629980686192358,0, 0
2000-02,2000,2,29.54625256219187,27.55466927429446,27.560658255325496,2.9546252562191873,0.9680415914809983,0.10000000000000005,39.500001043000005,0.0,0.05136891594532828,0.0,39.44863212705467,24.039410365853627,0.9986995211496473,0.6085926514200377,-11.893962852760211,0, 0
2000-03,2000,3,61.27629972166683,26.642962696587333,28.945179999370392,6.127629972166682,0.5383576210593586,0.10000000000000005,24.100000798700002,0.0,0.09831882177019233,0.0,24.00168197692981,11.298570844195432,0.9959203809746141,0.4688203514418513,2.641280719657526,0, 0
2000-04,2000,4,100.84889286238067,68.54034976962143,70.56715225695277,57.63279940258785,0.7123506149519655,0.5848429775394799,38.30000042910001,0.0,0.0,0.0,38.30000042910001,28.596019707246096,1.0,0.7466323599703953,30.240349340521437,26, 0
2000-05,2000,5,119.93960783525944,135.5303405652541,135.5303405652541,133.5415620883897,1.1225645965287236,1.104013080981466,14.8999998274,180.76007520706122,0.1023075780541976,10.886737208942339,14.797692249345802,13.799392885861412,0.9931337195141398,0.9261337614571878,120.73264831590829,31, 0
2000-06,2000,6,174.2071220342543,201.6748341690505,201.6748341690505,200.50950246120834,1.170521729145084,1.1637347304271262,3.2000000475999997,112.55397031316352,0.0,11.255397031316352,3.2000000475999997,2.785689268047242,1.0,0.8705278833156609,198.4748341214505,30, 1
2000-07,2000,7,174.4311691135006,162.65458991939886,162.65458991939886,147.06781579562426,0.9140306714638169,0.8178017571133701,17.9000002741,222.96240649048684,0.0,22.296240649048688,17.9000002741,8.361342083230175,1.0,0.4671140757091735,144.75458964529886,31, 0
2000-08,2000,8,164.1243962675824,203.5202633547636,203.5202633547636,202.42816699131438,1.2367512076348315,1.2300910375125604,0.5,112.22142712636307,0.0,11.222142712636307,0.5,0.4994992151649858,1.0,0.9989984303299716,203.0202633547636,31, 0
2000-09,2000,9,103.50277851930477,27.405364641722443,32.91799182501116,17.9641980064026,0.29373414637326556,0.19012132185603395,10.3000002503,108.60283091940781,0.0,10.860283091940781,10.3000002503,5.174730379815063,1.0,0.5024009955402033,17.105364391422437,8, 1
2000-10,2000,10,56.66933342402292,23.096050309882088,26.11334820004447,5.666933342402294,0.5228941054385373,0.10000000000000005,36.20000058429999,0.0,0.0,1.4513984409792329,34.74860214332076,25.72641265388926,0.959906121062089,0.7106743712332108,-11.65255183343868,0, 0
2000-11,2000,11,19.77523269840658,13.415387390907934,13.821637940073117,1.9775232698406582,0.6447981493763691,0.10000000000000005,11.799999892699999,0.0,0.0,0.0,11.799999892699999,8.40062708368955,1.0,0.7119175559388393,1.615387498207936,0, 0
2000-12,2000,12,14.205535251984875,11.17280976803083,11.290449404138602,1.420553525198488,0.8380140561636401,0.10000000000000005,17.7000006437,0.0,0.0,3.8843227189775007,13.815677924722497,10.431581455804569,0.7805467470217262,0.5893548630755279,-2.6428681566916734,0, 0
2001-01,2001,1,18.453057933687607,8.242867998109128,8.246176937148975,1.845305793368761,0.46447633326848375,0.10000000000000005,4.900000095399999,0.0,0.0,0.0,4.900000095399999,2.61175235316838,1.0,0.5330106739426861,3.342867902709128,0, 0
2001-02,2001,2,28.107311738090203,23.898539751996857,23.999291590390285,2.8107311738090206,0.869409427655066,0.10000000000000005,23.100000232299998,0.0,0.0,0.0,23.100000232299998,11.458426075472262,1.0,0.4960357558546821,0.7985395196968483,0, 0
2001-03,2001,3,66.35074297633366,24.1769966633834,31.265163191361687,6.6350742976333645,0.3854258177204568,0.10000000000000005,21.8000004292,0.0,0.0,0.0,21.8000004292,7.357776243327547,1.0,0.33751266506729866,2.3769962341834,0, 0
2001-04,2001,4,80.77608474732915,39.07055131297696,42.95404704892956,24.422529639762637,0.464768098871918,0.2653641054006024,26.700000763,0.0,0.0,0.0,26.700000763,14.675822918562108,1.0,0.5496562733773174,12.370550549976965,13, 0
