HUC8_all,Year,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Lower Crooked (17070305),2007,65046.64729095953,155345.14451338965,42984.30967821854,112360.83483517123,162788.82162160354,2.388211398790729,0.6608228320507564,1.7273885667399744,2.5026473830916207
Lower Crooked (17070305),2008,65784.01369528865,150316.29301182463,31156.89560909088,119159.39740273342,172622.44623053024,2.2849972898900517,0.4736241201914119,1.811373169698635,2.624078959823231
Lower Crooked (17070305),2009,65496.10977858134,159715.74401785046,47316.2495202195,112399.4944976306,162803.07853880734,2.4385531378549294,0.7224283958265403,1.7161247420283836,2.4856908156711244
Lower Crooked (17070305),2010,65793.4196642774,149164.63525210985,52551.069422960994,96613.565829149,140355.12617700978,2.267166473687625,0.7987283483836553,1.468438125303972,2.1332699667109067
Lower Crooked (17070305),2011,66544.77476837797,152859.05771193776,44156.71848133263,108702.33923060526,158524.30033008696,2.297085807923964,0.6635640233967081,1.6335217845272583,2.382220104912243
Lower Crooked (17070305),2012,64857.01905933923,154025.9268235814,47224.20361699913,106801.72320658207,154542.96775532805,2.37485362505883,0.7281278773203034,1.6467257477385235,2.382825637020613
Lower Crooked (17070305),2013,65965.78278780953,153062.05711940193,46106.01179749059,106956.04532191134,153677.92856816715,2.320325032930372,0.6989382957191402,1.621386737211232,2.3296612588150296
Lower Crooked (17070305),2014,67103.51644533667,169966.0674507222,44310.10445541894,125655.96299530327,182110.85596256575,2.5328936016218853,0.6603246268251006,1.8725689747967846,2.7138794747204558
Lower Crooked (17070305),2015,66818.10452147074,175341.26750876923,44587.76108362817,130753.50642514112,188608.29666888248,2.624158059623296,0.6673005976890699,1.956857461934227,2.8227124672217654
Lower Crooked (17070305),2016,66785.92859809179,169804.54094137368,54339.152391511394,115465.38854986256,167086.30417362088,2.542519726920819,0.8136317564515225,1.728887970469301,2.501818986138869
Lower Crooked (17070305),2017,67741.93473009283,170926.15138991136,45881.51954313893,125044.6318467724,180724.72661321255,2.5231955962128914,0.677298629363727,1.845896966849164,2.6678412320711242
Lower Crooked (17070305),2018,66856.14356032938,169299.30659524415,33329.462600320716,135969.84399492363,195459.25270021212,2.532292435361195,0.4985250543242149,2.033767381036983,2.9235795289902473
